 
                                                                                                                                                                                                                                                                
 
gvkey     datadate     fyear    cik
006509    20150930      2015    0000056978
006527    20150630      2015    0000763532
006528    20151231      2015    0000060714
006532    20150731      2015    0000357020
006543    20160430      2015    0000057131
006547    20150930      2015    0001126956
006565    20150630      2015    0000707549
006573    20150630      2015    0000057515
006574    20151231      2015    0000057528
006617    20151231      2015    0000703604
006639    20150930      2015    0000058361
006649    20151231      2015    0000058492
006653    20160331      2015    0000704051
006653    20160331      2015    0000704051
006669    20151130      2015    0000920760
006682    20151231      2015    0000096223
006730    20151231      2015    0000059478
006733    20160131      2015    0000701985
006737    20151231      2015    0000059527
006742    20151231      2015    0000059558
006742    20151231      2015    0000059558
006768    20151231      2015    0000352363
006774    20151231      2015    0000936468
006781    20151231      2015    0000060086
006781    20151231      2015    0000060086
006788    20151231      2015    0000315852
006791    20151231      2015    0001017907
006791    20151231      2015    0001017907
006821    20151231      2015    0000060519
006829    20160131      2015    0000060667
006831    20150831      2015    0000016099
006845    20151231      2015    0000060977
006848    20151231      2015    0000061004
006865    20151231      2015    0000773141
006867    20151231      2015    0000067716
006900    20150930      2015    0000068709
006932    20151231      2015    0001161728
006936    20150630      2015    0000061398
006994    20151231      2015    0000061986
007017    20151231      2015    0000101778
007022    20151231      2015    0000062234
007034    20150630      2015    0000062362
007063    20151231      2015    0001070750
007063    20151231      2015    0001070750
007065    20151231      2015    0000062709
007085    20151231      2015    0000062996
007092    20150630      2015    0000749038
007116    20151231      2015    0000063276
007117    20151231      2015    0000063330
007117    20151231      2015    0000063330
007124    20151231      2015    0000319815
007138    20150731      2015    0000054187
007146    20151130      2015    0000063754
007152    20151231      2015    0000708819
007154    20151231      2015    0000063908
007161    20151231      2015    0000752714
007163    20151231      2015    0000064040
007171    20160331      2015    0000927653
007183    20151231      2015    0000064463
007185    20150930      2015    0000064472
007228    20160430      2015    0001613103
007241    20151231      2015    0000064803
007251    20160131      2015    0000701811
007257    20151231      2015    0000310158
007260    20150630      2015    0000065011
007275    20160331      2015    0000724004
007277    20151231      2015    0000313364
007279    20160131      2015    0000065172
007291    20160430      2015    0000065270
007295    20150630      2015    0000065312
007309    20160331      2015    0000066418
007315    20151231      2015    0000065596
007316    20160131      2015    0001593936
007343    20150831      2015    0000723125
007346    20150930      2015    0000310568
007366    20151231      2015    0000065984
007368    20151231      2015    0000066004
007401    20160531      2015    0000066382
007420    20151231      2015    0000066570
007422    20151231      2015    0000316300
007435    20151231      2015    0000066740
007437    20151231      2015    0000066756
007481    20151231      2015    0000067279
007486    20160331      2015    0000067347
007525    20150930      2015    0000067625
007525    20150930      2015    0000067625
007526    20151231      2015    0000353569
007549    20150930      2015    0000067887
007566    20160531      2015    0000068270
007585    20151231      2015    0000068505
007620    20151231      2015    0000717423
007632    20150630      2015    0000069422
007636    20151231      2015    0000069488
007637    20151231      2015    0001623613
007647    20151231      2015    0000070858
007647    20151231      2015    0000070858
007648    20151231      2015    0000070866
007658    20151231      2015    0000072162
007682    20151231      2015    0000704532
007685    20150630      2015    0000069633
007694    20151231      2015    0000737207
007696    20160331      2015    0000069733
007733    20150930      2015    0000070145
007741    20151231      2015    0001047335
007750    20151231      2015    0000070318
007759    20151231      2015    0000070415
007762    20151231      2015    0000080172
007799    20151231      2015    0000275053
007849    20150930      2015    0000356309
007866    20151231      2015    0000071691
007875    20151231      2015    0000814453
007881    20151231      2015    0001164727
007882    20151231      2015    0000071829
007883    20151231      2015    0000225263
007906    20160531      2015    0000320187
007911    20151031      2015    0000072205
007912    20151231      2015    0000072207
007921    20151031      2015    0000072331
007922    20160131      2015    0000072333
007923    20151231      2015    0000702165
007938    20151231      2015    0000789933
007951    20160131      2015    0000072573
007959    20151031      2015    0000072633
007970    20151231      2015    0000072741
007974    20151231      2015    0001111711
007977    20151231      2015    0000072903
007982    20151231      2015    0000073124
007982    20151231      2015    0000073124
007985    20151231      2015    0001133421
007991    20151231      2015    0000097216
007993    20151231      2015    0000073020
008001    20151231      2015    0000073088
008007    20151231      2015    0000072971
008007    20151231      2015    0000072971
008030    20151231      2015    0000073309
008060    20151231      2015    0001587987
008073    20151231      2015    0000350737
008079    20151231      2015    0000073756
008087    20160331      2015    0000350868
008092    20160331      2015    0000073887
008099    20151231      2015    0001031296
008105    20150731      2015    0000074046
008113    20151231      2015    0001021635
008123    20151231      2015    0000074303
008148    20151231      2015    0000712770
008148    20151231      2015    0000712770
008151    20151231      2015    0001039684
008199    20151231      2015    0001466593
008210    20151231      2015    0000075208
008213    20151231      2015    0000075252
008214    20151231      2015    0001370946
008215    20151231      2015    0000812074
008219    20160131      2015    0000075288
008229    20151231      2015    0000075340
008240    20151231      2015    0000077776
008240    20151231      2015    0000077776
008245    20151231      2015    0000713676
008245    20151231      2015    0000713676
008247    20151231      2015    0000079879
008253    20151231      2015    0000075362
008264    20151231      2015    0001004980
008266    20160430      2015    0000277058
008272    20151231      2015    0001032208
008334    20151231      2015    0000708821
008348    20160229      2015    0000076267
008350    20151231      2015    0000076282
008357    20151231      2015    0000076321
008358    20150630      2015    0000076334
008363    20151231      2015    0000729237
008363    20151231      2015    0000729237
008386    20151231      2015    0000076605
008387    20151231      2015    0000943861
008402    20160531      2015    0000723531
008423    20150630      2015    0001422862
008431    20151231      2015    0001042046
008431    20151231      2015    0001042046
008440    20151231      2015    0000077159
008446    20160131      2015    0001166126
008455    20151231      2015    0000922224
008457    20151231      2015    0000077281
008457    20151231      2015    0000077281
008463    20151231      2015    0000077360
008479    20151231      2015    0000077476
008486    20151231      2015    0000077543
008493    20151231      2015    0000319654
008512    20151231      2015    0000077877
008515    20151231      2015    0000350403
008530    20151231      2015    0000078003
008539    20151231      2015    0001109357
008542    20151231      2015    0000078128
008543    20151231      2015    0000764180
008549    20151231      2015    0001163165
008551    20160131      2015    0000078239
008577    20151031      2015    0000078460
008579    20160229      2015    0000278130
008582    20160331      2015    0000088948
008599    20160331      2015    0000078749
008605    20151231      2015    0001230245
008605    20151231      2015    0001230245
008606    20151231      2015    0000078814
008611    20151231      2015    0001532619
008633    20160331      2015    0000914025
008661    20151231      2015    0001546296
008692    20151231      2015    0001338749
008694    20151231      2015    0001135971
008699    20150930      2015    0000080420
008717    20151231      2015    0000079958
008762    20150630      2015    0000080424
008807    20151231      2015    0001108426
008810    20151231      2015    0000788784
008823    20151231      2015    0000822416
008826    20150831      2015    0000276720
008832    20160131      2015    0000100591
008850    20151231      2015    0000081362
008858    20160331      2015    0000708818
008864    20150930      2015    0000720500
008867    20160331      2015    0000709283
008873    20151231      2015    0000751652
008892    20151231      2015    0000700841
008898    20150930      2015    0000720005
008898    20150930      2015    0000720005
008901    20151231      2015    0000742278
008902    20160531      2015    0000110621
008947    20151231      2015    0000082020
008958    20160131      2015    0000082166
008972    20151231      2015    0001047122
008987    20160131      2015    0000082473
009016    20151231      2015    0000082811
009023    20150630      2015    0000716643
009063    20151231      2015    0000350698
009083    20151231      2015    0000083402
009083    20151231      2015    0000083402
009125    20160531      2015    0000355948
009155    20160229      2015    0000084129
009171    20150930      2015    0001069533
009203    20150930      2015    0001024478
009216    20151231      2015    0000084748
009225    20151231      2015    0000084839
009248    20160131      2015    0000745732
009256    20151231      2015    0001528558
009258    20151231      2015    0000085408
009273    20150630      2015    0000085535
009299    20151231      2015    0000085961
009317    20151231      2015    0000350894
009317    20151231      2015    0000350894
009324    20151231      2015    0000766829
009325    20151231      2015    0000089270
009330    20151231      2015    0000315545
009346    20151231      2015    0000710752
009355    20151231      2015    0000086115
009372    20151231      2015    0000203077
009393    20151231      2015    0000319655
009445    20151231      2015    0000754737
009465    20151231      2015    0000087347
009466    20160531      2015    0000866729
009472    20150831      2015    0000087565
009538    20151231      2015    0000088121
009551    20160331      2015    0000317788
009555    20151231      2015    0001012100
009590    20151231      2015    0000088790
009599    20160131      2015    0000088941
009611    20151231      2015    0000089089
009619    20151231      2015    0000089140
009664    20151231      2015    0000354963
009667    20151231      2015    0000089800
009698    20150930      2015    0000090168
009728    20151231      2015    0000314203
009761    20160531      2015    0000090896
009771    20151231      2015    0000091142
009777    20160430      2015    0000091419
009778    20151231      2015    0000091440
009783    20151231      2015    0000091576
009783    20151231      2015    0000091576
009815    20151231      2015    0000091767
009831    20151231      2015    0000091928
009835    20151231      2015    0000320575
009849    20151231      2015    0001056903
009850    20151231      2015    0000092122
009882    20151231      2015    0000092380
009890    20151231      2015    0001692115
009899    20151231      2015    0000732717
009904    20151231      2015    0000007332
009916    20150930      2015    0000718924
009919    20151231      2015    0000743238
009922    20150630      2015    0000092679
009969    20151231      2015    0000718937
010000    20151231      2015    0000093389
010002    20151231      2015    0000878560
010008    20150630      2015    0000310354
010016    20151231      2015    0000093556
010030    20150630      2015    0000093676
010035    20151231      2015    0000093751
010035    20151231      2015    0000093751
010056    20151231      2015    0000094049
010086    20151231      2015    0000094344
010086    20151231      2015    0000094344
010096    20151231      2015    0001393311
010096    20151231      2015    0001393311
010115    20151231      2015    0000310764
010121    20151231      2015    0001593538
010121    20151231      2015    0001593538
010124    20151231      2015    0000095029
010187    20151231      2015    0000750556
010187    20151231      2015    0000750556
010190    20160229      2015    0000095521
010195    20151231      2015    0000095552
010198    20151231      2015    0000095574
010221    20151231      2015    0000351817
010236    20151231      2015    0000095953
010247    20150630      2015    0000096021
010277    20151231      2015    0000350563
010297    20150630      2015    0000103096
010305    20160531      2015    0000098338
010349    20160531      2015    0000096536
010353    20151231      2015    0000318833
010364    20150930      2015    0000096699
010380    20150630      2015    0000096793
010390    20151231      2015    0000096869
010390    20151231      2015    0000096869
010405    20151231      2015    0001018963
010407    20151231      2015    0000096943
010411    20151231      2015    0001051512
010441    20151231      2015    0000097134
010443    20151231      2015    0001024725
010451    20151231      2015    0000097196
010453    20151231      2015    0000097210
010466    20151231      2015    0000050104
010499    20151231      2015    0000097476
010504    20151231      2015    0000097517
010519    20151231      2015    0000217346
010530    20151231      2015    0000097745
010549    20150731      2015    0000730263
010565    20160331      2015    0000098222
010567    20151231      2015    0000701374
010581    20151231      2015    0000098362
010598    20151231      2015    0000730349
010609    20151231      2015    0000098677
010614    20151231      2015    0000320335
010614    20151231      2015    0000320335
010618    20151031      2015    0000737758
010631    20151231      2015    0000721683
010685    20160331      2015    0000099302
010726    20151231      2015    0000726513
010735    20151231      2015    0000099780
010740    20150630      2015    0000732026
010761    20151231      2015    0000093314
010777    20150630      2015    0000100378
010787    20150930      2015    0001608109
010789    20151231      2015    0000860731
010793    20150930      2015    0000100493
010795    20151231      2015    0000100517
010801    20150930      2015    0000884614
010816    20151231      2015    0000757011
010832    20151231      2015    0000100716
010839    20150630      2015    0000100726
010840    20150831      2015    0000717954
010860    20151231      2015    0001002910
010867    20151231      2015    0000100885
010877    20151231      2015    0000798949
010894    20151231      2015    0000074208
010894    20151231      2015    0000074208
010902    20151231      2015    0000101295
010903    20151231      2015    0000731766
010903    20151231      2015    0000731766
010916    20151231      2015    0000101382
010916    20151231      2015    0000101382
010917    20151231      2015    0000752642
010917    20151231      2015    0000752642
010920    20151231      2015    0001090727
010930    20151231      2015    0000101538
010938    20151231      2015    0000101594
010938    20151231      2015    0000101594
010981    20151231      2015    0000355999
010983    20151231      2015    0000101829
010984    20160331      2015    0000101830
